# cycles.log — حواف أسقطها Kahn لتكوينها دورات
# السطر: حافة | القاعدة/الثقة | سلسلتا الطرفين | سبب الإسقاط
767_دورة النحو المستوى الأول|026.02 → 984_أم البراهين|003.05 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 984_أم البراهين | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|026.02 → 984_أم البراهين|003.06 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 984_أم البراهين | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|026.02 → 984_أم البراهين|004.01 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 984_أم البراهين | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|026.02 → 984_أم البراهين|004.02 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 984_أم البراهين | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|026.02 → 984_أم البراهين|004.03 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 984_أم البراهين | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|027.02 → 796_دورة النحو المستوى الثالث (قطر الندى)|011.05 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|027.02 → 796_دورة النحو المستوى الثالث (قطر الندى)|011.07 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
767_دورة النحو المستوى الأول|027.04 → 782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-027-e01 | rule=tag_chain conf=0.7 | 767_دورة النحو المستوى الأول ← 782_دورة النحو المستوى الرابع (شرح ابن عاقل | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-005-e02 → 796_دورة النحو المستوى الثالث (قطر الندى)|008.08 | rule=tag_chain conf=0.7 | 782_دورة النحو المستوى الرابع (شرح ابن عاقل ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-006-e01 → 796_دورة النحو المستوى الثالث (قطر الندى)|002.09 | rule=tag_chain conf=0.7 | 782_دورة النحو المستوى الرابع (شرح ابن عاقل ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-013-e01 → 796_دورة النحو المستوى الثالث (قطر الندى)|020.04 | rule=tag_chain conf=0.7 | 782_دورة النحو المستوى الرابع (شرح ابن عاقل ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-014-e01 → 796_دورة النحو المستوى الثالث (قطر الندى)|022.02 | rule=tag_chain conf=0.7 | 782_دورة النحو المستوى الرابع (شرح ابن عاقل ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
782_دورة النحو المستوى الرابع (شرح ابن عاقل|782-016-e01 → 796_دورة النحو المستوى الثالث (قطر الندى)|014.05 | rule=tag_chain conf=0.7 | 782_دورة النحو المستوى الرابع (شرح ابن عاقل ← 796_دورة النحو المستوى الثالث (قطر الندى) | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
989_آداب_البحث_و_المناظرة|002.06 → 999_شرح_السلم|008.11 | rule=tag_chain conf=0.7 | 989_آداب_البحث_و_المناظرة ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
989_آداب_البحث_و_المناظرة|006.07 → 992_شرح_الرسالة_العضدية|021.07 | rule=tag_chain conf=0.7 | 989_آداب_البحث_و_المناظرة ← 992_شرح_الرسالة_العضدية | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
989_آداب_البحث_و_المناظرة|006.07 → 999_شرح_السلم|007.06 | rule=tag_chain conf=0.7 | 989_آداب_البحث_و_المناظرة ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
992_شرح_الرسالة_العضدية|015.03 → 999_شرح_السلم|009.08 | rule=tag_chain conf=0.7 | 992_شرح_الرسالة_العضدية ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
992_شرح_الرسالة_العضدية|021.02 → 999_شرح_السلم|003.02 | rule=tag_chain conf=0.7 | 992_شرح_الرسالة_العضدية ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
992_شرح_الرسالة_العضدية|021.07 → 999_شرح_السلم|008.16 | rule=tag_chain conf=0.7 | 992_شرح_الرسالة_العضدية ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
